year,month,jenis,kode_trayek,trayek,jumlah_penumpang,halte_awal,halte_tujuan,latitude_awal,longitude_awal,latitude_tujuan,longitude_tujuan
2021,7,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,27538,Terminal Tanjung Priok,Ancol Barat,-6.09194,106.88167,-6.12815,106.84494
2021,7,Mikrotrans,JAK.85,Bintara - Cipinang Indah,25470,Bintara,Cipinang Indah,-6.2345741,106.9459448,-6.244,106.899
2021,7,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,40086,Terminal Kampung Melayu,Kapin Raya,-6.235,106.893,-6.25684,106.89837
2021,7,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,60821,Rawa Buaya,Rawa Kompeni,106.726188,-6.153916,-6.1046871,106.6997506
2021,7,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,60267,Tanjung Priok,Jembatan Item,106.88214,-6.10959,106.85515,-6.13098
2021,7,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,42919,Cililitan,Kp. Pulo,106.866352,-6.262494,-6.2526054,106.8047095
2021,7,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,39415,Terminal Rawamangun,Cipinang Muara,-6.2005,106.8765,-6.23,106.88
2021,7,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,61657,Jambore Cibubur,Pasar Rebo,-6.3716939,106.8979283,-6.3315,106.8925
2021,7,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,86419,Kampung Rambutan,Pasar Rebo,106.882155,-6.309885,-6.3315,106.8925
2021,7,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,61194,Kampung Rambutan,Pinang Ranti,106.882155,-6.309885,106.886338,-6.291075
2021,7,Mikrotrans,JAK.64,Lenteng Agung - Aseli,35142,Lenteng Agung,Aseli,-6.3233,106.8147,-6.3488301,106.7965722
2021,7,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,29397,Cempaka Putih,Pulo Gadung,106.876423,-6.174207,106.90885,-6.183325
2021,7,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,51455,Kelapa Gading,Rusun Kemayoran,-6.136,106.9015,-6.1735,106.8465
2021,7,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,68926,Rawamangun,Tanah Merah,106.880332,-6.192931,-6.1334847,106.9005815
2021,7,Mikrotrans,JAK.58,Cilingcing - Rorotan,84804,Cilingcing,Rorotan,-6.0935,106.879,-6.1335,106.9045
2021,7,Mikrotrans,JAK.56,Grogol - Srengseng,50173,Grogol,Srengseng,106.789705,-6.166824,-6.2095235,106.7546797
2021,7,Mikrotrans,JAK.54,Grogol - Benhil,35059,Grogol,Benhil,106.789705,-6.166824,-6.2146871,106.8154446
2021,7,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,35322,Grogol,Pos Pengumben,106.789705,-6.166824,106.77226,-6.212935
2021,7,Mikrotrans,JAK.52,Kalideres - Muara Angke,55626,Kalideres,Muara Angke,106.705503,-6.154412,-6.1098764,106.7747051
2021,7,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,90388,Taman Kota,Budi Luhur,106.757893,-6.157176,-6.176755,106.7467395
2021,7,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,59756,Kalideres,Puri Kembangan,106.705503,-6.154412,-6.171,106.746
2021,7,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,35304,Lebak Bulus,Cipulir,106.774151,-6.289413,106.765411,-6.237818
2021,7,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,42179,Pasar Minggu,Ciganjur,-6.2825,106.82,-6.335,106.829
2021,7,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,70972,Pasar Minggu,Jagakarsa,-6.2825,106.82,-6.345,106.797
2021,7,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,42681,Lebak Bulus,Ragunan,106.774151,-6.289413,106.819485,-6.305769
2021,7,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,53677,Andara,Stasiun Universitas Pancasila,-6.314,106.823,-6.3975,106.813
2021,7,Mikrotrans,JAK.43,Tongtek - Cililitan,69302,Tongtek,Cililitan,-6.2159362,106.8633821,106.866352,-6.262494
2021,7,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,59935,Kampung Melayu,Pondok Kelapa,106.866821,-6.224673,-6.207,106.902
2021,7,Mikrotrans,JAK.41,Kampung Melayu - Ppulo Gadung,39265,Kampung Melayu,Pulo Gadung,106.866821,-6.224673,106.90885,-6.183325
2021,7,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,39761,Harapan Baru,Pulo Gebang,-6.184,106.896,106.952651,-6.212697
2021,7,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,50834,Kalimalang,Duren Sawit,-6.231,106.922,-6.2325,106.9
2021,7,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,41201,Bulak Ringin,Kampung Rambutan,-6.3536317,106.8743563,106.882155,-6.309885
2021,7,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,43598,Cililitan,Condet,106.866352,-6.262494,-6.2764268,106.8517227
2021,7,Mikrotrans,JAK.36,Cilangkap - Cililitan,59082,Cilangkap,Cililitan,-6.3337625,106.9080579,106.866352,-6.262494
